QID,URLNO,PNO,REL,EXPL
22,87,214,Positive,Answers the details mentioned in the question
22,88,215,Positive,Answers the details mentioned in the question
22,89,216,Negative,Does not provide info if the patient was the first
22,89,217,Negative,Does not provide info on patient
22,90,218,Negative,Does not provide info on patient
22,92,219,Negative,Provides info on treatment centers rather than patient treatments
22,93,220,Negative,Provides info on treatment centers rather than patient treatments
23,94,221,Positive,Answers the details mentioned in the question
23,95,222,Positive,Answers the details mentioned in the question
23,96,223,Positive,Answers the details mentioned in the question
23,97,224,Positive,Answers the details mentioned in the question
23,98,225,Positive,Answers the details mentioned in the question
23,100,226,Negative,Does not provide relavant info
23,100,227,Negative,Does not provide relavant info
23,101,228,Negative,Does not provide relavant info
23,102,229,Negative,Does not provide relavant info
23,94,230,Negative,Does not provide relavant info
24,233,231,Positive,Answers the details mentioned in the question
24,233,232,Positive,Answers the details mentioned in the question
24,233,233,Positive,Answers the details mentioned in the question
24,235,234,Positive,Answers the details mentioned in the question
24,236,235,Positive,Answers the details mentioned in the question
24,69,236,Negative,Patient dies
24,70,237,Negative,false negative
24,71,238,Negative,he died of the infection; not successful
24,72,239,Negative,not the first;
24,94,240,Negative,did not mention first;
25,69,246,Negative,did not mention if first patient;
25,70,247,Negative,mentions recent;
25,71,248,Negative,Patient dies
25,72,249,Negative,did not mention if first patient;
25,94,250,Negative,did not mention first;
26,135,251,Positive,Answers the details mentioned in the question
26,106,252,Positive,Answers the details mentioned in the question
26,107,253,Positive,Answers the details mentioned in the question
26,108,254,Positive,Answers the details mentioned in the question
26,109,255,Positive,Answers the details mentioned in the question
26,110,256,Negative,Does not provide relavant info
26,111,257,Negative,Does not provide incubation period
26,112,258,Negative,Does not provide relavant info
26,107,259,Negative,Does not provide relavant info
27,108,261,Positive,Answers the details mentioned in the question
27,109,262,Positive,Answers the details mentioned in the question
27,110,263,Positive,Answers the details mentioned in the question
27,111,264,Positive,Answers the details mentioned in the question
27,111,265,Positive,Answers the details mentioned in the question
27,112,266,Negative,Does not provide relavant info
27,113,267,Negative,Does not provide relavant info
27,113,268,Negative,Does not provide relavant info
27,113,269,Negative,Does not provide relavant info
28,114,271,Positive,Answers the details mentioned in the question
28,114,272,Positive,Answers the details mentioned in the question
28,116,273,Positive,Answers the details mentioned in the question
28,116,274,Positive,Answers the details mentioned in the question
28,116,275,Positive,Answers the details mentioned in the question
28,116,276,Negative,Does not provide relavant info
28,117,280,Negative,Does not provide relavant info
29,118,281,Positive,Answers the details mentioned in the question
29,118,282,Positive,Answers the details mentioned in the question
29,119,283,Positive,Answers the details mentioned in the question
29,119,284,Positive,Answers the details mentioned in the question
29,119,285,Positive,Answers the details mentioned in the question
29,119,286,Negative,Does not provide relavant info
30,139,291,Positive,Answers the details mentioned in the question
30,140,292,Positive,Answers the details mentioned in the question
30,140,293,Positive,Answers the details mentioned in the question
30,141,294,Positive,Answers the details mentioned in the question
30,141,295,Positive,Answers the details mentioned in the question
30,141,296,Negative,Does not provide relavant info
30,141,297,Negative,Does not provide relavant info
31,151,351,Positive,Answers the details mentioned in the question
31,151,352,Positive,Answers the details mentioned in the question
31,241,353,Positive,Answers the details mentioned in the question
31,242,354,Positive,Answers the details mentioned in the question
31,243,355,Positive,Answers the details mentioned in the question
31,244,356,Negative,Does not provide relavant info
31,245,357,Negative,Does not provide incubation period
32,246,361,Positive,Answers the details mentioned in the question
32,247,362,Positive,Answers the details mentioned in the question
32,248,363,Positive,Answers the details mentioned in the question
32,249,364,Positive,Answers the details mentioned in the question
32,250,365,Positive,Answers the details mentioned in the question
32,251,366,Negative,Does not provide relavant info
32,252,367,Negative,Does not provide relavant info
32,252,368,Negative,Does not provide relavant info
32,253,369,Negative,Does not provide relavant info
32,254,370,Positive,Answers the details mentioned in the question
33,255,371,Positive,Answers the details mentioned in the question
33,256,372,Positive,Answers the details mentioned in the question
33,257,373,Positive,Answers the details mentioned in the question
33,258,374,Positive,Answers the details mentioned in the question
33,259,375,Positive,Answers the details mentioned in the question
34,260,381,Positive,Answers the details mentioned in the question
34,261,382,Positive,Answers the details mentioned in the question
34,158,383,Positive,Answers the details mentioned in the question
34,262,384,Positive,Answers the details mentioned in the question
34,263,385,Positive,Answers the details mentioned in the question
35,57,391,Positive,Answers the details mentioned in the question
35,264,392,Positive,Answers the details mentioned in the question
35,365,393,Positive,Answers the details mentioned in the question
35,266,394,Positive,Answers the details mentioned in the question
35,267,395,Positive,Answers the details mentioned in the question
41,188,401,Positive,Answers the details mentioned in the question
41,189,402,Positive,Answers the details mentioned in the question
41,190,403,Positive,Answers the details mentioned in the question
41,190,404,Positive,Answers the details mentioned in the question
41,191,405,Positive,Answers the details mentioned in the question
41,191,406,Negative,Does not provide relavant info
41,191,407,Negative,Does not provide relavant info
42,192,411,Positive,Answers the details mentioned in the question
42,193,412,Positive,Answers the details mentioned in the question
42,193,413,Positive,Answers the details mentioned in the question
42,194,414,Positive,Answers the details mentioned in the question
42,195,415,Positive,Answers the details mentioned in the question
42,195,416,Negative,Does not provide relavant info
42,195,417,Negative,Does not provide relavant info
43,196,421,Positive,Answers the details mentioned in the question
43,197,422,Positive,Answers the details mentioned in the question
43,197,423,Positive,Answers the details mentioned in the question
43,197,424,Positive,Answers the details mentioned in the question
43,198,425,Positive,Answers the details mentioned in the question
43,198,426,Negative,Does not provide relavant info
43,198,427,Negative,Does not provide relavant info
44,199,431,Positive,Answers the details mentioned in the question
44,199,432,Positive,Answers the details mentioned in the question
44,199,433,Positive,Answers the details mentioned in the question
44,200,434,Positive,Answers the details mentioned in the question
44,200,435,Positive,Answers the details mentioned in the question
44,200,436,Negative,Does not provide relavant info
44,200,437,Negative,Does not provide relavant info
45,201,441,Positive,Answers the details mentioned in the question
45,201,442,Positive,Answers the details mentioned in the question
45,202,443,Positive,Answers the details mentioned in the question
45,202,444,Positive,Answers the details mentioned in the question
45,202,445,Positive,Answers the details mentioned in the question
45,202,446,Negative,Does not provide relavant info
46,150,451,Positive,Answers the details mentioned in the question
46,150,452,Positive,Answers the details mentioned in the question
46,151,453,Positive,Answers the details mentioned in the question
46,152,454,Positive,Answers the details mentioned in the question
46,152,455,Positive,Answers the details mentioned in the question
46,152,456,Negative,Does not provide relavant info
46,152,457,Negative,Does not provide relavant info
47,153,461,Positive,Answers the details mentioned in the question
47,154,462,Positive,Answers the details mentioned in the question
47,273,463,Positive,Answers the details mentioned in the question
47,156,464,Positive,Answers the details mentioned in the question
47,157,465,Positive,Answers the details mentioned in the question
47,158,466,Negative,Does not provide relavant info
47,158,467,Negative,Does not provide relavant info
48,159,471,Positive,Answers the details mentioned in the question
48,159,472,Positive,Answers the details mentioned in the question
48,159,473,Positive,Answers the details mentioned in the question
48,160,474,Positive,Answers the details mentioned in the question
48,161,475,Positive,Answers the details mentioned in the question
48,161,476,Negative,Does not provide relavant info
48,161,477,Negative,Does not provide relavant info
49,162,481,Positive,Answers the details mentioned in the question
49,163,482,Positive,Answers the details mentioned in the question
49,164,483,Positive,Answers the details mentioned in the question
49,165,484,Positive,Answers the details mentioned in the question
49,166,485,Positive,Answers the details mentioned in the question
49,166,486,Negative,Does not provide relavant info
49,166,487,Negative,Does not provide relavant info
53,279,561,Positive,Answers the details mentioned in the question
53,280,562,Positive,Answers the details mentioned in the question
53,281,563,Positive,Answers the details mentioned in the question
53,282,564,Positive,Answers the details mentioned in the question
53,283,565,Positive,Answers the details mentioned in the question
101,701,701,Positive,Answers the details mentioned in the questions
101,702,702,Positive,Answers the details mentioned in the questions
101,703,703,Positive,Answers the details mentioned in the questions
101,704,704,Positive,Answers the details mentioned in the questions
101,705,705,Positive,Answers the details mentioned in the questions
101,706,706,Positive,Answers the details mentioned in the questions
101,707,707,Positive,Answers the details mentioned in the questions
101,708,708,Positive,Answers the details mentioned in the questions
101,709,709,Positive,Answers the details mentioned in the questions
101,710,710,Positive,Answers the details mentioned in the questions
102,711,711,Positive,Answers the details mentioned in the questions
102,712,712,Positive,Answers the details mentioned in the questions
102,713,713,Positive,Answers the details mentioned in the questions
102,714,714,Positive,Answers the details mentioned in the questions
102,715,715,Positive,Answers the details mentioned in the questions
102,716,716,Positive,Answers the details mentioned in the questions
102,717,717,Positive,Answers the details mentioned in the questions
102,718,718,Positive,Answers the details mentioned in the questions
102,719,719,Positive,Answers the details mentioned in the questions
102,720,720,Positive,Answers the details mentioned in the questions
103,721,721,Positive,Answers the details mentioned in the questions
103,722,722,Positive,Answers the details mentioned in the questions
103,723,723,Positive,Answers the details mentioned in the questions
103,724,724,Positive,Answers the details mentioned in the questions
103,725,725,Positive,Answers the details mentioned in the questions
103,726,726,Positive,Answers the details mentioned in the questions
103,727,727,Positive,Answers the details mentioned in the questions
103,728,728,Positive,Answers the details mentioned in the questions
103,729,729,Positive,Answers the details mentioned in the questions
103,730,730,Positive,Answers the details mentioned in the questions
104,731,731,Positive,Answers the details mentioned in the questions
104,732,732,Positive,Answers the details mentioned in the questions
104,733,733,Positive,Answers the details mentioned in the questions
104,734,734,Positive,Answers the details mentioned in the questions
104,735,735,Positive,Answers the details mentioned in the questions
104,736,736,Positive,Answers the details mentioned in the questions
104,737,737,Positive,Answers the details mentioned in the questions
104,738,738,Positive,Answers the details mentioned in the questions
104,739,739,Positive,Answers the details mentioned in the questions
104,740,740,Positive,Answers the details mentioned in the questions
105,701,701,Positive,Answers the details mentioned in the questions
105,702,702,Positive,Answers the details mentioned in the questions
105,703,703,Positive,Answers the details mentioned in the questions
105,704,704,Positive,Answers the details mentioned in the questions
105,705,705,Positive,Answers the details mentioned in the questions
105,706,706,Positive,Answers the details mentioned in the questions
105,707,707,Positive,Answers the details mentioned in the questions
105,708,708,Positive,Answers the details mentioned in the questions
105,709,709,Positive,Answers the details mentioned in the questions
105,710,710,Positive,Answers the details mentioned in the questions
106,711,711,Positive,Answers the details mentioned in the questions
106,712,712,Positive,Answers the details mentioned in the questions
106,713,713,Positive,Answers the details mentioned in the questions
106,714,714,Positive,Answers the details mentioned in the questions
106,715,715,Positive,Answers the details mentioned in the questions
106,716,716,Positive,Answers the details mentioned in the questions
106,717,717,Positive,Answers the details mentioned in the questions
106,718,718,Positive,Answers the details mentioned in the questions
106,719,719,Positive,Answers the details mentioned in the questions
106,720,720,Positive,Answers the details mentioned in the questions
107,721,721,Positive,Answers the details mentioned in the questions
107,722,722,Positive,Answers the details mentioned in the questions
107,723,723,Positive,Answers the details mentioned in the questions
107,724,724,Positive,Answers the details mentioned in the questions
107,725,725,Positive,Answers the details mentioned in the questions
107,726,726,Positive,Answers the details mentioned in the questions
107,727,727,Positive,Answers the details mentioned in the questions
107,728,728,Positive,Answers the details mentioned in the questions
107,729,729,Positive,Answers the details mentioned in the questions
107,730,730,Positive,Answers the details mentioned in the questions
108,731,731,Positive,Answers the details mentioned in the questions
108,732,732,Positive,Answers the details mentioned in the questions
108,733,733,Positive,Answers the details mentioned in the questions
108,734,734,Positive,Answers the details mentioned in the questions
108,735,735,Positive,Answers the details mentioned in the questions
108,736,736,Positive,Answers the details mentioned in the questions
108,737,737,Positive,Answers the details mentioned in the questions
108,738,738,Positive,Answers the details mentioned in the questions
108,739,739,Positive,Answers the details mentioned in the questions
108,740,740,Positive,Answers the details mentioned in the questions
109,701,701,Positive,Answers the details mentioned in the questions
109,702,702,Positive,Answers the details mentioned in the questions
109,703,703,Positive,Answers the details mentioned in the questions
109,704,704,Positive,Answers the details mentioned in the questions
109,705,705,Positive,Answers the details mentioned in the questions
109,706,706,Positive,Answers the details mentioned in the questions
109,707,707,Positive,Answers the details mentioned in the questions
109,708,708,Positive,Answers the details mentioned in the questions
109,709,709,Positive,Answers the details mentioned in the questions
109,710,710,Positive,Answers the details mentioned in the questions
110,711,711,Positive,Answers the details mentioned in the questions
110,712,712,Positive,Answers the details mentioned in the questions
110,713,713,Positive,Answers the details mentioned in the questions
110,714,714,Positive,Answers the details mentioned in the questions
110,715,715,Positive,Answers the details mentioned in the questions
110,716,716,Positive,Answers the details mentioned in the questions
110,717,717,Positive,Answers the details mentioned in the questions
110,718,718,Positive,Answers the details mentioned in the questions
110,719,719,Positive,Answers the details mentioned in the questions
110,720,720,Positive,Answers the details mentioned in the questions
111,721,721,Positive,Answers the details mentioned in the questions
111,722,722,Positive,Answers the details mentioned in the questions
111,723,723,Positive,Answers the details mentioned in the questions
111,724,724,Positive,Answers the details mentioned in the questions
111,725,725,Positive,Answers the details mentioned in the questions
111,726,726,Positive,Answers the details mentioned in the questions
111,727,727,Positive,Answers the details mentioned in the questions
111,728,728,Positive,Answers the details mentioned in the questions
111,729,729,Positive,Answers the details mentioned in the questions
111,730,730,Positive,Answers the details mentioned in the questions
112,731,731,Positive,Answers the details mentioned in the questions
112,732,732,Positive,Answers the details mentioned in the questions
112,733,733,Positive,Answers the details mentioned in the questions
112,734,734,Positive,Answers the details mentioned in the questions
112,735,735,Positive,Answers the details mentioned in the questions
112,736,736,Positive,Answers the details mentioned in the questions
112,737,737,Positive,Answers the details mentioned in the questions
112,738,738,Positive,Answers the details mentioned in the questions
112,739,739,Positive,Answers the details mentioned in the questions
112,740,740,Positive,Answers the details mentioned in the questions
113,701,701,Positive,Answers the details mentioned in the questions
113,702,702,Positive,Answers the details mentioned in the questions
113,703,703,Positive,Answers the details mentioned in the questions
113,704,704,Positive,Answers the details mentioned in the questions
113,705,705,Positive,Answers the details mentioned in the questions
113,706,706,Positive,Answers the details mentioned in the questions
113,707,707,Positive,Answers the details mentioned in the questions
113,708,708,Positive,Answers the details mentioned in the questions
113,709,709,Positive,Answers the details mentioned in the questions
113,710,710,Positive,Answers the details mentioned in the questions
114,711,711,Positive,Answers the details mentioned in the questions
114,712,712,Positive,Answers the details mentioned in the questions
114,713,713,Positive,Answers the details mentioned in the questions
114,714,714,Positive,Answers the details mentioned in the questions
114,715,715,Positive,Answers the details mentioned in the questions
114,716,716,Positive,Answers the details mentioned in the questions
114,717,717,Positive,Answers the details mentioned in the questions
114,718,718,Positive,Answers the details mentioned in the questions
114,719,719,Positive,Answers the details mentioned in the questions
114,720,720,Positive,Answers the details mentioned in the questions
115,721,721,Positive,Answers the details mentioned in the questions
115,722,722,Positive,Answers the details mentioned in the questions
115,723,723,Positive,Answers the details mentioned in the questions
115,724,724,Positive,Answers the details mentioned in the questions
115,725,725,Positive,Answers the details mentioned in the questions
115,726,726,Positive,Answers the details mentioned in the questions
115,727,727,Positive,Answers the details mentioned in the questions
115,728,728,Positive,Answers the details mentioned in the questions
115,729,729,Positive,Answers the details mentioned in the questions
115,730,730,Positive,Answers the details mentioned in the questions
116,731,731,Positive,Answers the details mentioned in the questions
116,732,732,Positive,Answers the details mentioned in the questions
116,733,733,Positive,Answers the details mentioned in the questions
116,734,734,Positive,Answers the details mentioned in the questions
116,735,735,Positive,Answers the details mentioned in the questions
116,736,736,Positive,Answers the details mentioned in the questions
116,737,737,Positive,Answers the details mentioned in the questions
116,738,738,Positive,Answers the details mentioned in the questions
116,739,739,Positive,Answers the details mentioned in the questions
116,740,740,Positive,Answers the details mentioned in the questions
117,701,701,Positive,Answers the details mentioned in the questions
117,702,702,Positive,Answers the details mentioned in the questions
117,703,703,Positive,Answers the details mentioned in the questions
117,704,704,Positive,Answers the details mentioned in the questions
117,705,705,Positive,Answers the details mentioned in the questions
117,706,706,Positive,Answers the details mentioned in the questions
117,707,707,Positive,Answers the details mentioned in the questions
117,708,708,Positive,Answers the details mentioned in the questions
117,709,709,Positive,Answers the details mentioned in the questions
117,710,710,Positive,Answers the details mentioned in the questions
118,711,711,Positive,Answers the details mentioned in the questions
118,712,712,Positive,Answers the details mentioned in the questions
118,713,713,Positive,Answers the details mentioned in the questions
118,714,714,Positive,Answers the details mentioned in the questions
118,715,715,Positive,Answers the details mentioned in the questions
118,716,716,Positive,Answers the details mentioned in the questions
118,717,717,Positive,Answers the details mentioned in the questions
118,718,718,Positive,Answers the details mentioned in the questions
118,719,719,Positive,Answers the details mentioned in the questions
118,720,720,Positive,Answers the details mentioned in the questions
119,721,721,Positive,Answers the details mentioned in the questions
119,722,722,Positive,Answers the details mentioned in the questions
119,723,723,Positive,Answers the details mentioned in the questions
119,724,724,Positive,Answers the details mentioned in the questions
119,725,725,Positive,Answers the details mentioned in the questions
119,726,726,Positive,Answers the details mentioned in the questions
119,727,727,Positive,Answers the details mentioned in the questions
119,728,728,Positive,Answers the details mentioned in the questions
119,729,729,Positive,Answers the details mentioned in the questions
119,730,730,Positive,Answers the details mentioned in the questions
120,731,731,Positive,Answers the details mentioned in the questions
120,732,732,Positive,Answers the details mentioned in the questions
120,733,733,Positive,Answers the details mentioned in the questions
120,734,734,Positive,Answers the details mentioned in the questions
120,735,735,Positive,Answers the details mentioned in the questions
120,736,736,Positive,Answers the details mentioned in the questions
120,737,737,Positive,Answers the details mentioned in the questions
120,738,738,Positive,Answers the details mentioned in the questions
120,739,739,Positive,Answers the details mentioned in the questions
120,740,740,Positive,Answers the details mentioned in the questions
121,741,741,Positive,Answers the details mentioned in the questions
121,742,742,Positive,Answers the details mentioned in the questions
121,743,743,Positive,Answers the details mentioned in the questions
121,744,744,Positive,Answers the details mentioned in the questions
121,745,745,Positive,Answers the details mentioned in the questions
121,746,746,Positive,Answers the details mentioned in the questions
121,747,747,Positive,Answers the details mentioned in the questions
121,748,748,Positive,Answers the details mentioned in the questions
121,749,749,Positive,Answers the details mentioned in the questions
121,750,750,Positive,Answers the details mentioned in the questions
122,751,751,Positive,Answers the details mentioned in the questions
122,752,752,Positive,Answers the details mentioned in the questions
122,753,753,Positive,Answers the details mentioned in the questions
122,754,754,Positive,Answers the details mentioned in the questions
122,755,755,Positive,Answers the details mentioned in the questions
122,756,756,Positive,Answers the details mentioned in the questions
122,757,757,Positive,Answers the details mentioned in the questions
122,758,758,Positive,Answers the details mentioned in the questions
122,759,759,Positive,Answers the details mentioned in the questions
122,760,760,Positive,Answers the details mentioned in the questions
123,761,761,Positive,Answers the details mentioned in the questions
123,762,762,Positive,Answers the details mentioned in the questions
123,763,763,Positive,Answers the details mentioned in the questions
123,764,764,Positive,Answers the details mentioned in the questions
123,765,765,Positive,Answers the details mentioned in the questions
123,766,766,Positive,Answers the details mentioned in the questions
123,767,767,Positive,Answers the details mentioned in the questions
123,768,768,Positive,Answers the details mentioned in the questions
123,769,769,Positive,Answers the details mentioned in the questions
123,770,770,Positive,Answers the details mentioned in the questions
124,771,771,Positive,Answers the details mentioned in the questions
124,772,772,Positive,Answers the details mentioned in the questions
124,773,773,Positive,Answers the details mentioned in the questions
124,774,774,Positive,Answers the details mentioned in the questions
124,775,775,Positive,Answers the details mentioned in the questions
124,776,776,Positive,Answers the details mentioned in the questions
124,777,777,Positive,Answers the details mentioned in the questions
124,778,778,Positive,Answers the details mentioned in the questions
124,779,779,Positive,Answers the details mentioned in the questions
124,780,780,Positive,Answers the details mentioned in the questions
125,781,781,Positive,Answers the details mentioned in the questions
125,782,782,Positive,Answers the details mentioned in the questions
125,783,783,Positive,Answers the details mentioned in the questions
125,784,784,Positive,Answers the details mentioned in the questions
125,785,785,Positive,Answers the details mentioned in the questions
125,786,786,Positive,Answers the details mentioned in the questions
125,787,787,Positive,Answers the details mentioned in the questions
125,788,788,Positive,Answers the details mentioned in the questions
125,789,789,Positive,Answers the details mentioned in the questions
125,790,790,Positive,Answers the details mentioned in the questions
126,741,741,Positive,Answers the details mentioned in the questions
126,742,742,Positive,Answers the details mentioned in the questions
126,743,743,Positive,Answers the details mentioned in the questions
126,744,744,Positive,Answers the details mentioned in the questions
126,745,745,Positive,Answers the details mentioned in the questions
126,746,746,Positive,Answers the details mentioned in the questions
126,747,747,Positive,Answers the details mentioned in the questions
126,748,748,Positive,Answers the details mentioned in the questions
126,749,749,Positive,Answers the details mentioned in the questions
126,750,750,Positive,Answers the details mentioned in the questions
127,751,751,Positive,Answers the details mentioned in the questions
127,752,752,Positive,Answers the details mentioned in the questions
127,753,753,Positive,Answers the details mentioned in the questions
